DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
0.040339,0.01,0.025,0.0175,1,18,100,2

0.040339,0.025,0.05,0.037500000000000006,1,1,100,3

0.045129,0.004,0.01,0.007,1,48,101,1

0.045129,0.01,0.025,0.0175,1,16,101,2

0.045129,0.025,0.05,0.037500000000000006,1,4,101,3

0.046946,0.004,0.01,0.007,1,53,102,1

0.046946,0.01,0.025,0.0175,1,15,102,2

0.046946,0.025,0.05,0.037500000000000006,1,3,102,3

388.501807,0.004,0.01,0.007,1,28,103,1

388.501807,0.01,0.025,0.0175,1,9,103,2

388.501807,0.025,0.05,0.037500000000000006,1,4,103,3

388.531493,0.004,0.01,0.007,1,32,104,1

388.531493,0.01,0.025,0.0175,1,10,104,2

388.531493,0.025,0.05,0.037500000000000006,1,1,104,3

388.557144,0.004,0.01,0.007,1,40,105,1

388.557144,0.01,0.025,0.0175,1,12,105,2

388.557144,0.025,0.05,0.037500000000000006,1,3,105,3

2502.530033,0.004,0.01,0.007,1,18,106,1

2502.530033,0.01,0.025,0.0175,1,7,106,2

2502.530033,0.025,0.05,0.037500000000000006,1,0,106,3

2502.549415,0.004,0.01,0.007,1,17,107,1

2502.549415,0.01,0.025,0.0175,1,9,107,2

2502.549415,0.025,0.05,0.037500000000000006,1,0,107,3

2502.604814,0.004,0.01,0.007,1,18,108,1

2502.604814,0.01,0.025,0.0175,1,2,108,2

2502.604814,0.025,0.05,0.037500000000000006,1,0,108,3

743.164196,0.004,0.01,0.007,1,29,109,1

743.164196,0.01,0.025,0.0175,1,6,109,2

743.164196,0.025,0.05,0.037500000000000006,1,2,109,3

743.187218,0.004,0.01,0.007,1,22,110,1

743.187218,0.01,0.025,0.0175,1,5,110,2

743.187218,0.025,0.05,0.037500000000000006,1,2,110,3

743.242587,0.004,0.01,0.007,1,27,111,1

743.242587,0.01,0.025,0.0175,1,11,111,2

743.242587,0.025,0.05,0.037500000000000006,1,1,111,3

743.226367,0.004,0.01,0.007,1,25,112,1

743.226367,0.01,0.025,0.0175,1,10,112,2

743.226367,0.025,0.05,0.037500000000000006,1,1,112,3

743.171021,0.004,0.01,0.007,1,32,113,1

743.171021,0.01,0.025,0.0175,1,12,113,2

743.171021,0.025,0.05,0.037500000000000006,1,3,113,3

743.161787,0.004,0.01,0.007,1,23,114,1

743.161787,0.01,0.025,0.0175,1,8,114,2

743.161787,0.025,0.05,0.037500000000000006,1,2,114,3

743.158643,0.004,0.01,0.007,1,28,115,1

743.158643,0.01,0.025,0.0175,1,10,115,2

743.158643,0.025,0.05,0.037500000000000006,1,1,115,3

743.167674,0.004,0.01,0.007,1,29,116,1

743.167674,0.01,0.025,0.0175,1,7,116,2

743.167674,0.025,0.05,0.037500000000000006,1,1,116,3

743.210667,0.004,0.01,0.007,1,18,117,1

743.210667,0.01,0.025,0.0175,1,6,117,2

743.210667,0.025,0.05,0.037500000000000006,1,5,117,3

743.172639,0.004,0.01,0.007,1,18,118,1

743.172639,0.01,0.025,0.0175,1,8,118,2

743.172639,0.025,0.05,0.037500000000000006,1,1,118,3

1081.76013,0.004,0.01,0.007,1,19,119,1

1081.76013,0.01,0.025,0.0175,1,12,119,2

