DISTANCE,IBD_LEFT,IBD_RIGHT,IBD_MID,NR_PAIRS,COUNT,DISTANCE_INDEX,BIN_INDEX
24.58,0.01,0.025,0.0175,1,8,102,2
24.58,0.025,0.05,0.037500000000000006,1,1,102,3
26.412,0.004,0.01,0.007,1,38,103,1
26.412,0.01,0.025,0.0175,1,11,103,2
26.412,0.025,0.05,0.037500000000000006,1,0,103,3
28.953,0.004,0.01,0.007,1,32,104,1
28.953,0.01,0.025,0.0175,1,13,104,2
28.953,0.025,0.05,0.037500000000000006,1,1,104,3
31.466,0.004,0.01,0.007,1,31,105,1
31.466,0.01,0.025,0.0175,1,11,105,2
31.466,0.025,0.05,0.037500000000000006,1,3,105,3
33.857,0.004,0.01,0.007,1,33,106,1
33.857,0.01,0.025,0.0175,1,13,106,2
33.857,0.025,0.05,0.037500000000000006,1,2,106,3
36.269,0.004,0.01,0.007,1,24,107,1
36.269,0.01,0.025,0.0175,1,9,107,2
36.269,0.025,0.05,0.037500000000000006,1,3,107,3
38.878,0.004,0.01,0.007,1,25,108,1
38.878,0.01,0.025,0.0175,1,8,108,2
38.878,0.025,0.05,0.037500000000000006,1,3,108,3
41.371,0.004,0.01,0.007,1,28,109,1
41.371,0.01,0.025,0.0175,1,10,109,2
41.371,0.025,0.05,0.037500000000000006,1,2,109,3
43.863,0.004,0.01,0.007,1,33,110,1
43.863,0.01,0.025,0.0175,1,8,110,2
43.863,0.025,0.05,0.037500000000000006,1,1,110,3
46.227,0.004,0.01,0.007,1,26,111,1
46.227,0.01,0.025,0.0175,1,10,111,2
46.227,0.025,0.05,0.037500000000000006,1,2,111,3
48.063,0.004,0.01,0.007,1,29,112,1
48.063,0.01,0.025,0.0175,1,5,112,2
48.063,0.025,0.05,0.037500000000000006,1,4,112,3
59.434,0.004,0.01,0.007,1,32,113,1
59.434,0.01,0.025,0.0175,1,6,113,2
59.434,0.025,0.05,0.037500000000000006,1,3,113,3
66.082,0.004,0.01,0.007,1,25,114,1
66.082,0.01,0.025,0.0175,1,8,114,2
66.082,0.025,0.05,0.037500000000000006,1,2,114,3
68.584,0.004,0.01,0.007,1,40,115,1
68.584,0.01,0.025,0.0175,1,11,115,2
68.584,0.025,0.05,0.037500000000000006,1,2,115,3
